2026-06-14 03:00:37.963 UTC [90699] FATAL:  lock file "postmaster.pid" already exists
2026-06-14 03:00:37.963 UTC [90699] HINT:  Is another postmaster (PID 19767) running in data directory "/workspaces/gestion-servicios/.runtime/pg/data"?
2026-06-14 10:13:12.797 UTC [5458] LOG:  starting PostgreSQL 16.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.2) 11.4.0, 64-bit
2026-06-14 10:13:12.799 UTC [5458] LOG:  listening on IPv6 address "::1", port 5432
2026-06-14 10:13:12.799 UTC [5458] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2026-06-14 10:13:12.800 UTC [5458] LOG:  listening on Unix socket "/tmp/.s.PGSQL.5432"
2026-06-14 10:13:12.808 UTC [5461] LOG:  database system was interrupted; last known up at 2026-06-14 04:57:06 UTC
2026-06-14 10:13:12.909 UTC [5461] LOG:  database system was not properly shut down; automatic recovery in progress
2026-06-14 10:13:12.959 UTC [5461] LOG:  redo starts at 0/19241B8
2026-06-14 10:13:12.959 UTC [5461] LOG:  invalid record length at 0/19242A0: expected at least 24, got 0
2026-06-14 10:13:12.959 UTC [5461] LOG:  redo done at 0/1924268 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-06-14 10:13:12.964 UTC [5459] LOG:  checkpoint starting: end-of-recovery immediate wait
2026-06-14 10:13:12.970 UTC [5459] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.008 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB; lsn=0/19242A0, redo lsn=0/19242A0
2026-06-14 10:13:12.973 UTC [5458] LOG:  database system is ready to accept connections
2026-06-14 10:18:13.023 UTC [5459] LOG:  checkpoint starting: time
2026-06-14 10:18:13.272 UTC [5459] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.202 s, sync=0.002 s, total=0.249 s; sync files=3, longest=0.002 s, average=0.001 s; distance=6 kB, estimate=6 kB; lsn=0/1925E40, redo lsn=0/1925E08
2026-06-14 10:43:13.718 UTC [5459] LOG:  checkpoint starting: time
2026-06-14 10:43:13.824 UTC [5459] LOG:  checkpoint complete: wrote 2 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.101 s, sync=0.002 s, total=0.106 s; sync files=2, longest=0.001 s, average=0.001 s; distance=7 kB, estimate=7 kB; lsn=0/1927DC0, redo lsn=0/1927D88
